ID,label
c92257d9-f149-4304-8e3d-e753c364791a.eml,1
f01fcb13-8ae2-4992-8dbe-d3ba65457faf.eml,0
993cad51-2a33-43bd-a6bf-055dea024eb1.eml,0
cb1b8dfe-8eba-4620-bdce-7f0081d2eeef.eml,0
6a9a7fbc-5973-42f0-b83b-f5ae1f7083da.eml,0
1b66eaf5-e3df-4a2b-8072-a3901e1ccaa9.eml,0
ff07195c-05bb-43c8-8415-d5b1f04eca16.eml,1
3f9e7e90-bca9-46c5-babf-4e57fbcf2dd7.eml,0
29743beb-7c84-4560-b6f6-8e4efb386bdc.eml,1
55f75943-9d0f-4db2-bb16-fbfe908729b3.eml,1
f5dd0f3e-058a-4354-a28c-78dea2d296d1.eml,0
df34e8ba-b6af-42d1-bbdb-69ffd9267ac4.eml,0
78a64f20-d4c2-45ee-a011-a5c57ab8a63b.eml,0
4c9db7fb-7815-4970-8f49-21a9a7b3e0cd.eml,0
63748783-e5fb-4532-8564-b9b9d5dc1cc1.eml,0
714d2c66-297b-4591-8ffe-ec9b04f9ef7c.eml,0
144ef089-7392-4dc5-8950-de9fbcdb8946.eml,0
496c2e29-78d7-4952-8a4b-ae29ee7a4b4c.eml,0
1d84cb16-0b88-4064-a99c-55f31bff82d4.eml,0
a1b49c4c-cffb-432f-ba31-622b3b461989.eml,0
ba86334a-d321-4f5c-a106-83b068b77c52.eml,0
51e932be-15f5-44e5-b051-7165a99d7faa.eml,0
d573f241-7061-4bcb-b0c8-b4213c97c3d3.eml,0
b1fb1a75-34c3-40f2-98a6-13414e4f0c3b.eml,0
96d472c9-db02-4f45-9f87-cefbe66bf06d.eml,1
a47e7237-8320-4ba2-b689-4218610d5b3d.eml,0
23b3dce7-3dae-4cd8-a469-fa04a787bc19.eml,0
02d48644-a2d5-4e83-bc83-d990b1ea8e1f.eml,1
ab0b59cc-224d-47eb-bbd1-096722219300.eml,0
2373ae32-5a9b-4cd2-978c-9a0d7f620d8c.eml,0
53ac1491-4092-4f7b-b364-730973ffa1fd.eml,0
f49a0951-5c2a-4c1b-8643-a2892c95c2b8.eml,0
da6b4229-3d37-4641-bae1-b98b289f591b.eml,1
adb3bf08-62d3-4075-913e-14d5c25eb667.eml,1
fd4c2a59-f33f-4355-a00f-21f78bc6b395.eml,0
548bb7d9-f1bb-482e-9573-3107de31f6be.eml,0
8156d834-3f9e-47a4-82b7-9fe0a7e33c46.eml,0
2af2128a-ea41-4945-b44b-06761629d472.eml,0
eaa79511-285d-44e4-8129-0155ec4bd43c.eml,0
146a7457-0ca7-450a-a6ca-9b29ea1dc381.eml,1
07a439cb-57ee-4e96-8f82-401ad60c6dd9.eml,0
055653f0-8e1e-43e6-894b-e3c8e5e8157b.eml,1
fccf48a0-57bc-46db-9419-ccd7b1ba4b2e.eml,1
42fce0f0-4d76-4541-aacc-6dcf7c1ac60a.eml,1
265443d5-e5e6-4c91-8d3a-23bd4a3bda66.eml,0
64ed6f00-6aec-4e0d-b733-0295bfc15466.eml,1
5f0cea15-6e7e-49e9-9009-71289aca5f6c.eml,1
a2e1bbf6-7b27-4139-b892-07d008448063.eml,0
e779f8c9-e5ec-4cc9-a7fb-0bb31410d351.eml,0
dc888914-740d-4614-ac14-cd841a66d355.eml,0
26ee4251-de08-4c12-b3e7-7c0cf7aa975a.eml,0
aaa6061c-cbe1-4931-a598-e2b6d8121b66.eml,0
b3b98ccf-387d-4a40-867c-3a70ae27a497.eml,1
44344465-e024-4f47-81d2-8fa10d8c6cad.eml,0
a36b8ae9-573c-4a23-b821-30354e05ecff.eml,0
a488d5e4-2b54-44fe-aa40-c1ecf598199d.eml,0
49302308-eb27-4299-a4f9-9aa135b9aca8.eml,0
b3507cd0-7717-45a7-85b3-bf52bdcd5868.eml,0
6275acfe-290f-428a-897d-0bea1c89ed4f.eml,0
f3c27acd-e5fa-4574-9e9a-d7714d64cc11.eml,0
65d2d0b1-d9e1-4bd0-9aeb-69e4c23330f1.eml,0
89f36546-519c-4deb-a3cc-459cc410f667.eml,0
fb89fbb9-1f31-46d1-94b7-f619748d1b86.eml,0
ccb8e248-d491-4aba-8449-1c09ce042eb9.eml,0
d2ef143b-2aa4-4c02-bb39-1857e2146134.eml,0
dc75923a-93f2-4720-901d-d33b8ff675be.eml,0
1678c155-a0c1-49af-a311-8963070288f0.eml,0
f497b8a3-3874-40d6-9a8a-245f18712e32.eml,1
5b6469e8-ad5d-441d-96cc-f638d840295e.eml,1
b72d4d6e-49fd-43b8-8315-6109fd639b91.eml,1
8af24e4d-b9b5-4ef1-a5cd-d249712a1de2.eml,0
b07dd8d0-cbc1-474a-a3da-8b941087ac28.eml,0
179793aa-6f12-411f-a95d-59f97018fc54.eml,0
6a46496a-ba1f-4f52-a456-81db9104c3f7.eml,0
503be433-d0ed-43ac-a2ef-ad3715d406db.eml,0
99597da5-4e56-47a4-bbc6-e5ebebe8c5e3.eml,0
a27403d2-9525-4773-b5e3-2514921ac932.eml,0
60679d14-9e2d-4191-a286-3214deeebd90.eml,0
